"How is success communicated in `createCoupon()`?","A message 'Coupon created successfully' is returned.","return array('status' => 'success', 'message' => 'Coupon created successfully');"
"What happens if a coupon ID does not exist?","An error message 'Coupon not found' is returned.","return array('status' => 'error', 'isValid' => false, 'message' => 'Coupon not found');"
"How does `CouponsManager` handle errors during coupon retrieval?","It returns an error response with a message 'Error retrieving coupons data'.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
"What is returned if the voucher code is not found in `verifyVoucherCode()`?","An error message 'Voucher not found' is returned.","return array('status' => 'error', 'message' => 'Voucher not found');"
"What is the purpose of `queryCouponByCode()` in `verifyVoucherCode()`?","To retrieve voucher details from the database using the voucher code.","$voucherDetails = $this->dh->queryCouponByCode($voucherCode);"
"What is the response if a voucher code is valid?","The discount amount, discount type, and expiration date.","return array('status' => 'success', 'discountAmount' => $voucherDetails['discountAmount'], 'discountType' => $voucherDetails['discountType'], 'expirationDate' => $voucherDetails['expirationDate']);"
"What is the purpose of `createCoupon()` function?","To create a new coupon in the system with the provided data.","public function createCoupon($couponData) { ... }"
"What is the role of `DataHandler_Coupons` in `CouponsManager`?","It handles database operations related to coupons.","private $dh; function __construct() { $this->dh = new DataHandler_Coupons(); }"
"How is the `CouponsManager` class instantiated?","By calling its constructor which initializes the database handler.","$couponsManager = new CouponsManager();"
"What is the purpose of `queryAllCoupons()` function?","To retrieve all coupon data from the database.","public function getCoupons() { $result = $this->dh->queryAllCoupons(); ... }"
"What is the purpose of `queryCouponById()` function?","To retrieve coupon details from the database by its ID.","$couponDetails = $this->dh->queryCouponById($couponId);"
"What is the purpose of `queryCouponByCode()` function?","To retrieve voucher details from the database using the voucher code.","$voucherDetails = $this->dh->queryCouponByCode($voucherCode);"
"What is the purpose of `verifyVoucherCode()` function?","To check the validity of a voucher code and return details if valid.","public function verifyVoucherCode($voucherCode) { ... }"
"What is the purpose of `checkCouponValidity()` function?","To check if a coupon is valid based on its expiration date.","public function checkCouponValidity($couponId) { ... }"
"What is the purpose of `createCoupon()` function?","To create a new coupon in the system with the provided data.","public function createCoupon($couponData) { ... }"
"What is the purpose of `getCoupons()` function?","To retrieve all coupon data from the database.","public function getCoupons() { $result = $this->dh->queryAllCoupons(); ... }"
"What is the purpose of `CouponsManager` class?","To manage coupon-related operations such as retrieval, creation, and validation.","class CouponsManager { ... }"
"What is the purpose of `DataHandler_Coupons` class?","To handle database operations related to coupons.","class DataHandler_Coupons { ... }"
"What is the purpose of `queryAllCoupons()` function?","To retrieve all coupon data from the database.","public function getCoupons() { $result = $this->dh->queryAllCoupons(); ... }"
"What is the purpose of `queryCouponById()` function?","To retrieve coupon details from the database by its ID.","$couponDetails = $this->dh->queryCouponById($couponId);"
"What is the purpose of `queryCouponByCode()` function?","To retrieve voucher details from the database using the voucher code.","$voucherDetails = $this->dh->queryCouponByCode($voucherCode);"
"What is the purpose of `verifyVoucherCode()` function?","To check the validity of a voucher code and return details if valid.","public function verifyVoucherCode($voucherCode) { ... }"
"What is the purpose of `checkCouponValidity()` function?","To check if a coupon is valid based on its expiration date.","public function checkCouponValidity($couponId) { ... }"
"What is the purpose of `createCoupon()` function?","To create a new coupon in the system with the provided data.","public function createCoupon($couponData) { ... }"
"What is the purpose of `getCoupons()` function?","To retrieve all coupon data from the database.","public function getCoupons() { $result = $this->dh->queryAllCoupons(); ... }"
"What does the `getCoupons()` method return on success?","An array with status, message, and coupon data.","return array('status' => 'success', 'message' => 'Coupons data retrieved successfully', 'data' => $result);"
"How does the `getCoupons()` method handle errors?","It returns an error array with a status and message.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
"What is the purpose of the `createCoupon()` method?","To create a new coupon using the provided data.","public function createCoupon($couponData) { ... }"
"How does `CouponsManager` handle coupon expiration in `checkCouponValidity()`?","It compares the current date with the coupon's expiration date.","if ($expirationDate >= $currentDate) { ... }"
"What does `queryCouponByCode()` do in `verifyVoucherCode()`?","It retrieves voucher details from the database using the voucher code.","$voucherDetails = $this->dh->queryCouponByCode($voucherCode);"
"How are new coupons constructed in `createCoupon()`?","By using the `Coupon` class and passing the necessary data.","$newCoupon = new Coupon(null, $couponData['code'], $couponData['discountAmount'], $couponData['discountType'], $couponData['expirationDate']);"
"What does the `checkCouponValidity()` method return for an expired coupon?","A response with `isValid` set to false and a message 'Coupon expired'.","return array('status' => 'success', 'isValid' => false, 'message' => 'Coupon expired');"
"How are invalid vouchers handled in `verifyVoucherCode()`?","It returns an error message stating 'Voucher not found'.","return array('status' => 'error', 'message' => 'Voucher not found');"
"How is the current date retrieved in `checkCouponValidity()`?","Using the `DateTime` class to get the current date.","$currentDate = new DateTime();"
"What does the `CouponsManager` constructor initialize?","It initializes the `$dh` property with an instance of `DataHandler_Coupons`.","function __construct() { $this->dh = new DataHandler_Coupons(); }"
"What happens when a coupon is successfully created?","The method returns a success status with a message.","return array('status' => 'success', 'message' => 'Coupon created successfully');"
"What is logged when a voucher code is received in `verifyVoucherCode()`?","The voucher code and the query result are logged for debugging.","error_log('Received voucher code in CouponsManager: ' . $voucherCode);"
"What is the purpose of the `verifyVoucherCode()` method?","To check the validity and details of a voucher code.","public function verifyVoucherCode($param) { ... }"
"How does `CouponsManager` check if a coupon exists?","Using the `queryCouponById()` or `queryCouponByCode()` methods from the database handler.","$couponDetails = $this->dh->queryCouponById($couponId);"
"How are expired vouchers identified in `verifyVoucherCode()`?","By comparing the expiration date with today's date.","if ($expirationDate < $today) { ... }"
"What is the role of the `$voucherDetails` variable in `verifyVoucherCode()`?","It stores the details of the voucher retrieved from the database.","$voucherDetails = $this->dh->queryCouponByCode($voucherCode);"
"How does the system handle a missing coupon ID?","It returns an error message 'Coupon not found'.","return array('status' => 'error', 'isValid' => false, 'message' => 'Coupon not found');"
"What happens if `queryAllCoupons()` returns no results?","An error message is returned stating 'Error retrieving coupons data'.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
"What is returned if a voucher code is valid?","The discount details and expiration date are returned.","return array('status' => 'success', 'discountAmount' => $voucherDetails['discountAmount'], 'discountType' => $voucherDetails['discountType'], 'expirationDate' => $voucherDetails['expirationDate']);"
"How does `CouponsManager` check coupon expiration?","It compares the current date with the expiration date of the coupon.","if ($expirationDate >= $currentDate) { ... }"
"What is the purpose of the `CouponsManager` class?","To manage coupon-related operations such as retrieval, creation, and validation.","class CouponsManager { ... }"
"What is the purpose of the `CouponsManager` class?","To manage coupon-related operations such as retrieval, creation, and validation.","class CouponsManager { ... }"
"How is the database handler initialized in `CouponsManager`?","In the constructor of the `CouponsManager` class.","function __construct() { $this->dh = new DataHandler_Coupons(); }"
"What does the `getCoupons()` method return on success?","An array containing the status, message, and coupon data.","return array('status' => 'success', 'message' => 'Coupons data retrieved successfully', 'data' => $result);"
"What does the `getCoupons()` method return on failure?","An error message 'Error retrieving coupons data'.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
"How is a new coupon created in the system?","By calling the `createCoupon()` method with the necessary coupon data.","public function createCoupon($couponData) { ... }"
"What happens if the `createCoupon()` method fails?","An error message 'Error creating coupon' is returned.","return array('status' => 'error', 'message' => 'Error creating coupon');"
"How does `CouponsManager` handle successful coupon creation?","It returns a success message 'Coupon created successfully'.","return array('status' => 'success', 'message' => 'Coupon created successfully');"
"What is the role of `queryCouponById()` in `checkCouponValidity()`?","It retrieves coupon details from the database using the coupon ID.","$couponDetails = $this->dh->queryCouponById($couponId);"
"How is the expiration date of a coupon checked in `checkCouponValidity()`?","By comparing the expiration date with the current date.","if ($expirationDate >= $currentDate) { ... }"
"What happens if a coupon is expired in `checkCouponValidity()`?","A message 'Coupon expired' is returned with `isValid` set to false.","return array('status' => 'success', 'isValid' => false, 'message' => 'Coupon expired');"
"What is logged when a voucher code is processed in `verifyVoucherCode()`?","The received voucher code and the query result from the database.","error_log('Received voucher code in CouponsManager: ' . $voucherCode); error_log('Result from DataHandler: ' . json_encode($voucherDetails));"
"What does `verifyVoucherCode()` return if the voucher is expired?","An error message 'Voucher expired'.","return array('status' => 'error', 'message' => 'Voucher expired');"
"What is the response if `queryCouponByCode()` does not find a voucher?","An error message 'Voucher not found'.","return array('status' => 'error', 'message' => 'Voucher not found');"
"What is the purpose of the `CouponsManager` class?","To manage coupon-related operations such as retrieval, creation, and validation.","class CouponsManager { ... }"
"How is the database handler initialized in `CouponsManager`?","In the constructor of the `CouponsManager` class.","function __construct() { $this->dh = new DataHandler_Coupons(); }"
"What does the `getCoupons()` method return on success?","An array containing the status, message, and coupon data.","return array('status' => 'success', 'message' => 'Coupons data retrieved successfully', 'data' => $result);"
"What does the `getCoupons()` method return on failure?","An error message 'Error retrieving coupons data'.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
"How is a new coupon created in the system?","By calling the `createCoupon()` method with the necessary coupon data.","public function createCoupon($couponData) { ... }"
"What happens if the `createCoupon()` method fails?","An error message 'Error creating coupon' is returned.","return array('status' => 'error', 'message' => 'Error creating coupon');"
"How does `CouponsManager` handle successful coupon creation?","It returns a success message 'Coupon created successfully'.","return array('status' => 'success', 'message' => 'Coupon created successfully');"
"What is the role of `queryCouponById()` in `checkCouponValidity()`?","It retrieves coupon details from the database using the coupon ID.","$couponDetails = $this->dh->queryCouponById($couponId);"
"How is the expiration date of a coupon checked in `checkCouponValidity()`?","By comparing the expiration date with the current date.","if ($expirationDate >= $currentDate) { ... }"
"What happens if a coupon is expired in `checkCouponValidity()`?","A message 'Coupon expired' is returned with `isValid` set to false.","return array('status' => 'success', 'isValid' => false, 'message' => 'Coupon expired');"
"What is logged when a voucher code is processed in `verifyVoucherCode()`?","The received voucher code and the query result from the database.","error_log('Received voucher code in CouponsManager: ' . $voucherCode); error_log('Result from DataHandler: ' . json_encode($voucherDetails));"
"What does `verifyVoucherCode()` return if the voucher is expired?","An error message 'Voucher expired'.","return array('status' => 'error', 'message' => 'Voucher expired');"
"What is the response if `queryCouponByCode()` does not find a voucher?","An error message 'Voucher not found'.","return array('status' => 'error', 'message' => 'Voucher not found');"
"What is the purpose of `verifyVoucherCode()` function?","It checks the validity of a voucher code and returns details if valid.","public function verifyVoucherCode($voucherCode) { ... }"
"What is the significance of `queryAllCoupons()` in `getCoupons()`?","It retrieves all coupon data from the database.","public function getCoupons() { $result = $this->dh->queryAllCoupons(); ... }"
"What is the role of the `$dh` variable in the `CouponsManager` class?","It is an instance of `DataHandler_Coupons` used for database operations.","private $dh; function __construct() { $this->dh = new DataHandler_Coupons(); }"
"What type of data does `getCoupons()` return on success?","An array containing the status, message, and coupon data.","return array('status' => 'success', 'message' => 'Coupons data retrieved successfully', 'data' => $result);"
"What is the format of the response if a coupon is expired?","It returns a success status with a message 'Coupon expired' and `isValid` set to false.","return array('status' => 'success', 'isValid' => false, 'message' => 'Coupon expired');"
"What is the response when a voucher code is invalid?","An error message 'Invalid voucher code' is returned.","return array('status' => 'error', 'message' => 'Invalid voucher code');"
"What is the significance of `DateTime` in `checkCouponValidity()`?","It is used to compare the current date with the coupon's expiration date.","$currentDate = new DateTime(); $expirationDate = new DateTime($couponDetails['expirationDate']);"
"What does `CouponsManager` return when `queryAllCoupons()` is successful?","A success status with the retrieved coupons data.","return array('status' => 'success', 'message' => 'Coupons data retrieved successfully', 'data' => $result);"
"What is the purpose of `queryCouponById()` in `checkCouponValidity()`?","To retrieve coupon details by its ID for validation.","$couponDetails = $this->dh->queryCouponById($couponId);"
"What is the response if `queryCouponById()` does not find a coupon?","An error message 'Coupon not found' is returned.","return array('status' => 'error', 'isValid' => false, 'message' => 'Coupon not found');"
"What is the role of `Coupon` class in `createCoupon()`?","It is used to create a new coupon object with specific properties.","$newCoupon = new Coupon(null, $couponData['code'], $couponData['discountAmount'], $couponData['discountType'], $couponData['expirationDate']);"
"Why is `$newCoupon` created with `null` for ID?","The ID is auto-generated by the database.","$newCoupon = new Coupon(null, $couponData['code'], ...);"
"How is success communicated in `createCoupon()`?","A message 'Coupon created successfully' is returned.","return array('status' => 'success', 'message' => 'Coupon created successfully');"
"What happens if a coupon ID does not exist?","An error message 'Coupon not found' is returned.","return array('status' => 'error', 'isValid' => false, 'message' => 'Coupon not found');"
"How does `CouponsManager` handle errors during coupon retrieval?","It returns an error response with a message 'Error retrieving coupons data'.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
"What is returned if the voucher code is not found in `verifyVoucherCode()`?","An error message 'Voucher not found' is returned.","return array('status' => 'error', 'message' => 'Voucher not found');"
"What is the purpose of `queryCouponByCode()` in `verifyVoucherCode()`?","To retrieve voucher details from the database using the voucher code.","$voucherDetails = $this->dh->queryCouponByCode($voucherCode);"
"What is the response if a voucher code is valid?","The discount amount, discount type, and expiration date.","return array('status' => 'success', 'discountAmount' => $voucherDetails['discountAmount'], 'discountType' => $voucherDetails['discountType'], 'expirationDate' => $voucherDetails['expirationDate']);"
"What is the purpose of `createCoupon()` function?","To create a new coupon in the system with the provided data.","public function createCoupon($couponData) { ... }"
"What is the role of `DataHandler_Coupons` in `CouponsManager`?","It handles database operations related to coupons.","private $dh; function __construct() { $this->dh = new DataHandler_Coupons(); }"
"How is the `CouponsManager` class instantiated?","By calling its constructor which initializes the database handler.","$couponsManager = new CouponsManager();"
"What is the purpose of `queryAllCoupons()` function?","To retrieve all coupon data from the database.","public function getCoupons() { $result = $this->dh->queryAllCoupons(); ... }"
"What is the purpose of `queryCouponById()` function?","To retrieve coupon details from the database by its ID.","$couponDetails = $this->dh->queryCouponById($couponId);"
"What is the purpose of `queryCouponByCode()` function?","To retrieve voucher details from the database using the voucher code.","$voucherDetails = $this->dh->queryCouponByCode($voucherCode);"
"What is the purpose of `verifyVoucherCode()` function?","To check the validity of a voucher code and return details if valid.","public function verifyVoucherCode($voucherCode) { ... }"
"What is the purpose of `checkCouponValidity()` function?","To check if a coupon is valid based on its expiration date.","public function checkCouponValidity($couponId) { ... }"
"What is the purpose of `createCoupon()` function?","To create a new coupon in the system with the provided data.","public function createCoupon($couponData) { ... }"
"What is the purpose of `getCoupons()` function?","To retrieve all coupon data from the database.","public function getCoupons() { $result = $this->dh->queryAllCoupons(); ... }"
"What does the `getCoupons()` method return on success?","An array with status, message, and coupon data.","return array('status' => 'success', 'message' => 'Coupons data retrieved successfully', 'data' => $result);"
"How does the `getCoupons()` method handle errors?","It returns an error array with a status and message.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
"What is the purpose of the `createCoupon()` method?","To create a new coupon using the provided data.","public function createCoupon($couponData) { ... }"
"How does `CouponsManager` handle coupon expiration in `checkCouponValidity()`?","It compares the current date with the coupon's expiration date.","if ($expirationDate >= $currentDate) { ... }"
"What does `queryCouponByCode()` do in `verifyVoucherCode()`?","It retrieves voucher details from the database using the voucher code.","$voucherDetails = $this->dh->queryCouponByCode($voucherCode);"
"How are new coupons constructed in `createCoupon()`?","By using the `Coupon` class and passing the necessary data.","$newCoupon = new Coupon(null, $couponData['code'], $couponData['discountAmount'], $couponData['discountType'], $couponData['expirationDate']);"
"What does the `checkCouponValidity()` method return for an expired coupon?","A response with `isValid` set to false and a message 'Coupon expired'.","return array('status' => 'success', 'isValid' => false, 'message' => 'Coupon expired');"
"How are invalid vouchers handled in `verifyVoucherCode()`?","It returns an error message stating 'Voucher not found'.","return array('status' => 'error', 'message' => 'Voucher not found');"
"How is the current date retrieved in `checkCouponValidity()`?","Using the `DateTime` class to get the current date.","$currentDate = new DateTime();"
"What does the `CouponsManager` constructor initialize?","It initializes the `$dh` property with an instance of `DataHandler_Coupons`.","function __construct() { $this->dh = new DataHandler_Coupons(); }"
"What happens when a coupon is successfully created?","The method returns a success status with a message.","return array('status' => 'success', 'message' => 'Coupon created successfully');"
"What is logged when a voucher code is received in `verifyVoucherCode()`?","The voucher code and the query result are logged for debugging.","error_log('Received voucher code in CouponsManager: ' . $voucherCode);"
"What is the purpose of the `verifyVoucherCode()` method?","To check the validity and details of a voucher code.","public function verifyVoucherCode($param) { ... }"
"How does `CouponsManager` check if a coupon exists?","Using the `queryCouponById()` or `queryCouponByCode()` methods from the database handler.","$couponDetails = $this->dh->queryCouponById($couponId);"
"How are expired vouchers identified in `verifyVoucherCode()`?","By comparing the expiration date with today's date.","if ($expirationDate < $today) { ... }"
"What is the role of the `$voucherDetails` variable in `verifyVoucherCode()`?","It stores the details of the voucher retrieved from the database.","$voucherDetails = $this->dh->queryCouponByCode($voucherCode);"
"How does the system handle a missing coupon ID?","It returns an error message 'Coupon not found'.","return array('status' => 'error', 'isValid' => false, 'message' => 'Coupon not found');"
"What happens if `queryAllCoupons()` returns no results?","An error message is returned stating 'Error retrieving coupons data'.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
"What is returned if a voucher code is valid?","The discount details and expiration date are returned.","return array('status' => 'success', 'discountAmount' => $voucherDetails['discountAmount'], 'discountType' => $voucherDetails['discountType'], 'expirationDate' => $voucherDetails['expirationDate']);"
"How does `CouponsManager` check coupon expiration?","It compares the current date with the expiration date of the coupon.","if ($expirationDate >= $currentDate) { ... }"
"What is the purpose of the `CouponsManager` class?","To manage coupon-related operations such as retrieval, creation, and validation.","class CouponsManager { ... }"
"What is the purpose of the `CouponsManager` class?","To manage coupon-related operations such as retrieval, creation, and validation.","class CouponsManager { ... }"
"How is the database handler initialized in `CouponsManager`?","In the constructor of the `CouponsManager` class.","function __construct() { $this->dh = new DataHandler_Coupons(); }"
"What does the `getCoupons()` method return on success?","An array containing the status, message, and coupon data.","return array('status' => 'success', 'message' => 'Coupons data retrieved successfully', 'data' => $result);"
"What does the `getCoupons()` method return on failure?","An error message 'Error retrieving coupons data'.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
"How is a new coupon created in the system?","By calling the `createCoupon()` method with the necessary coupon data.","public function createCoupon($couponData) { ... }"
"What happens if the `createCoupon()` method fails?","An error message 'Error creating coupon' is returned.","return array('status' => 'error', 'message' => 'Error creating coupon');"
"How does `CouponsManager` handle successful coupon creation?","It returns a success message 'Coupon created successfully'.","return array('status' => 'success', 'message' => 'Coupon created successfully');"
"What is the role of `queryCouponById()` in `checkCouponValidity()`?","It retrieves coupon details from the database using the coupon ID.","$couponDetails = $this->dh->queryCouponById($couponId);"
"How is the expiration date of a coupon checked in `checkCouponValidity()`?","By comparing the expiration date with the current date.","if ($expirationDate >= $currentDate) { ... }"
"What happens if a coupon is expired in `checkCouponValidity()`?","A message 'Coupon expired' is returned with `isValid` set to false.","return array('status' => 'success', 'isValid' => false, 'message' => 'Coupon expired');"
"What is logged when a voucher code is processed in `verifyVoucherCode()`?","The received voucher code and the query result from the database.","error_log('Received voucher code in CouponsManager: ' . $voucherCode); error_log('Result from DataHandler: ' . json_encode($voucherDetails));"
"What does `verifyVoucherCode()` return if the voucher is expired?","An error message 'Voucher expired'.","return array('status' => 'error', 'message' => 'Voucher expired');"
"What is the response if `queryCouponByCode()` does not find a voucher?","An error message 'Voucher not found'.","return array('status' => 'error', 'message' => 'Voucher not found');"
"What is the role of `$result` in `getCoupons()`?","It holds the data returned by the `queryAllCoupons()` database call.","$result = $this->dh->queryAllCoupons();"
"How does `checkCouponValidity()` handle invalid coupon IDs?","It returns an error status with the message 'Coupon not found' and `isValid` set to false.","return array('status' => 'error', 'isValid' => false, 'message' => 'Coupon not found');"
"What does `verifyVoucherCode()` check for when a voucher is retrieved?","It checks if the voucher's expiration date is still valid.","if ($expirationDate < $today) { return array('status' => 'error', 'message' => 'Voucher expired'); }"
"What happens when `queryCouponByCode()` successfully finds a voucher?","The method returns the voucher's details, including its discount and expiration date.","$voucherDetails = $this->dh->queryCouponByCode($voucherCode);"
"How does `createCoupon()` ensure a coupon is properly created?","It checks the result of the database handler's `createCoupon()` method.","if ($result) { return array('status' => 'success', 'message' => 'Coupon created successfully'); }"
"What happens if the database fails to create a coupon in `createCoupon()`?","An error response with the message 'Error creating coupon' is returned.","return array('status' => 'error', 'message' => 'Error creating coupon');"
"How is a coupon's expiration date validated in `checkCouponValidity()`?","By comparing the expiration date with the current date using the `DateTime` class.","$expirationDate = new DateTime($couponDetails['expirationDate']); if ($expirationDate < $currentDate) { ... }"
"What data does `queryCouponById()` retrieve?","The details of a coupon, such as its expiration date and discount amount, based on its ID.","$couponDetails = $this->dh->queryCouponById($couponId);"
"What happens if `verifyVoucherCode()` finds a voucher that has expired?","An error response with the message 'Voucher expired' is returned.","return array('status' => 'error', 'message' => 'Voucher expired');"
"What does `CouponsManager` return when no vouchers are found in `verifyVoucherCode()`?","An error response with the message 'Voucher not found' is returned.","return array('status' => 'error', 'message' => 'Voucher not found');"
"How does `CouponsManager` log database query results in `verifyVoucherCode()`?","It uses `error_log` to store the query results for debugging purposes.","error_log('Result from DataHandler: ' . json_encode($voucherDetails));"
"What is the default behavior when a coupon is successfully retrieved in `getCoupons()`?","The method returns a success response with the retrieved coupon data.","return array('status' => 'success', 'message' => 'Coupons data retrieved successfully', 'data' => $result);"
"How does `CouponsManager` handle errors in `checkCouponValidity()`?","It returns an error response with the message 'Coupon not found' and `isValid` set to false.","return array('status' => 'error', 'isValid' => false, 'message' => 'Coupon not found');"
"What is the purpose of the `Coupon` object in `createCoupon()`?","To represent the new coupon being created with its properties.","$newCoupon = new Coupon(null, $couponData['code'], $couponData['discountAmount'], ...);"
"Why does `verifyVoucherCode()` compare `expirationDate` with the current date?","To determine if the voucher is still valid or has expired.","if ($expirationDate < $today) { ... }"
"What happens if `queryAllCoupons()` returns no data in `getCoupons()`?","An error response with the message 'Error retrieving coupons data' is returned.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
"What is returned when `queryCouponById()` fails in `checkCouponValidity()`?","An error response with the message 'Coupon not found' is returned.","return array('status' => 'error', 'isValid' => false, 'message' => 'Coupon not found');"
"How is the success of `createCoupon()` communicated?","A response with a status of 'success' and the message 'Coupon created successfully' is returned.","return array('status' => 'success', 'message' => 'Coupon created successfully');"
"What data does `getCoupons()` return on success?","A status of 'success', a message, and the coupon data.","return array('status' => 'success', 'message' => 'Coupons data retrieved successfully', 'data' => $result);"
"Why is `$currentDate` important in `checkCouponValidity()`?","It is used to compare the coupon's expiration date with the current date.","$currentDate = new DateTime(); if ($expirationDate < $currentDate) { ... }"
"How does `verifyVoucherCode()` handle an invalid voucher code?","It returns an error response with the message 'Voucher not found'.","return array('status' => 'error', 'message' => 'Voucher not found');"
"Why does `CouponsManager` use the `DateTime` class?","To handle and compare dates accurately for coupon and voucher validation.","$expirationDate = new DateTime($voucherDetails['expirationDate']);"
"How is debugging information logged in `verifyVoucherCode()`?","It logs the voucher code and query results using `error_log`.","error_log('Received voucher code in CouponsManager: ' . $voucherCode); error_log('Result from DataHandler: ' . json_encode($voucherDetails));"
"What happens when a coupon is successfully created in `createCoupon()`?","A success response with the message 'Coupon created successfully' is returned.","return array('status' => 'success', 'message' => 'Coupon created successfully');"
"What does `getCoupons()` return if no coupons are found?","An error response with the message 'Error retrieving coupons data'.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
"What is the purpose of `CouponsManager`?","To manage operations like creating, retrieving, and validating coupons.","class CouponsManager { ... }"
"How does `checkCouponValidity()` handle expired coupons?","It returns a success status with `isValid` set to false and a message 'Coupon expired'.","if ($expirationDate < $currentDate) { return array('status' => 'success', 'isValid' => false, 'message' => 'Coupon expired'); }"
"What is the significance of `queryAllCoupons()` in `getCoupons()`?","It retrieves all coupons from the database.","$result = $this->dh->queryAllCoupons();"
"Why does `CouponsManager` return a success status even for expired coupons?","To indicate the query was successful, but includes `isValid` set to false.","return array('status' => 'success', 'isValid' => false, 'message' => 'Coupon expired');"
"What is included in the response of `verifyVoucherCode()` when successful?","The voucher's discount amount, type, and expiration date are included.","return array('status' => 'success', 'discountAmount' => ..., 'discountType' => ..., 'expirationDate' => ...);"
"How does `CouponsManager` handle a missing voucher code?","It returns an error response with the message 'Voucher not found'.","return array('status' => 'error', 'message' => 'Voucher not found');"
"How does `CouponsManager` check the success of a database operation?","By evaluating the result of the database handler's method calls.","if ($result) { return array('status' => 'success', ...); }"
"What is the purpose of the `CouponsManager` constructor?","To initialize the database handler for coupon operations.","function __construct() { $this->dh = new DataHandler_Coupons(); }"
"How does `CouponsManager` handle a successful coupon retrieval?","It returns a success status with the retrieved coupon data.","return array('status' => 'success', 'message' => 'Coupons data retrieved successfully', 'data' => $result);"
"What happens if `queryAllCoupons()` fails in `getCoupons()`?","An error message 'Error retrieving coupons data' is returned.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
"How is a new coupon object created in `createCoupon()`?","Using the `Coupon` class with the provided coupon data.","$newCoupon = new Coupon(null, $couponData['code'], $couponData['discountAmount'], $couponData['discountType'], $couponData['expirationDate']);"
"What does `createCoupon()` return on success?","A success message 'Coupon created successfully'.","return array('status' => 'success', 'message' => 'Coupon created successfully');"
"What is the response if `createCoupon()` fails?","An error message 'Error creating coupon' is returned.","return array('status' => 'error', 'message' => 'Error creating coupon');"
"How does `checkCouponValidity()` determine if a coupon is valid?","By comparing the coupon's expiration date with the current date.","if ($expirationDate >= $currentDate) { return array('status' => 'success', 'isValid' => true); }"
"What is the response if a coupon is expired in `checkCouponValidity()`?","A success status with `isValid` set to false and a message 'Coupon expired'.","return array('status' => 'success', 'isValid' => false, 'message' => 'Coupon expired');"
"What happens if `queryCouponById()` does not find a coupon in `checkCouponValidity()`?","An error message 'Coupon not found' is returned.","return array('status' => 'error', 'isValid' => false, 'message' => 'Coupon not found');"
"How does `verifyVoucherCode()` handle an expired voucher?","It returns an error message 'Voucher expired'.","return array('status' => 'error', 'message' => 'Voucher expired');"
"What is logged when `verifyVoucherCode()` receives a voucher code?","The received voucher code and the query result from the database.","error_log('Received voucher code in CouponsManager: ' . $voucherCode); error_log('Result from DataHandler: ' . json_encode($voucherDetails));"
"What does `verifyVoucherCode()` return if the voucher is valid?","The discount amount, discount type, and expiration date.","return array('status' => 'success', 'discountAmount' => $voucherDetails['discountAmount'], 'discountType' => $voucherDetails['discountType'], 'expirationDate' => $voucherDetails['expirationDate']);"
"What is the response if `queryCouponByCode()` does not find a voucher in `verifyVoucherCode()`?","An error message 'Voucher not found' is returned.","return array('status' => 'error', 'message' => 'Voucher not found');"
"What is the purpose of `queryCouponByCode()` in `verifyVoucherCode()`?","To retrieve voucher details from the database using the voucher code.","$voucherDetails = $this->dh->queryCouponByCode($voucherCode);"
"What is the role of `DataHandler_Coupons` in `CouponsManager`?","It handles all database operations related to coupons.","private $dh; function __construct() { $this->dh = new DataHandler_Coupons(); }"
"How does `CouponsManager` handle a missing coupon ID in `checkCouponValidity()`?","It returns an error message 'Coupon not found' with `isValid` set to false.","return array('status' => 'error', 'isValid' => false, 'message' => 'Coupon not found');"
"What is the purpose of `queryCouponById()` in `checkCouponValidity()`?","To retrieve coupon details from the database using the coupon ID.","$couponDetails = $this->dh->queryCouponById($couponId);"
"How does `CouponsManager` handle successful coupon creation in `createCoupon()`?","It returns a success message 'Coupon created successfully'.","return array('status' => 'success', 'message' => 'Coupon created successfully');"
"What is the purpose of `getCoupons()` function?","To retrieve all coupon data from the database.","public function getCoupons() { $result = $this->dh->queryAllCoupons(); ... }"
"What is the purpose of `createCoupon()` function?","To create a new coupon in the system with the provided data.","public function createCoupon($couponData) { ... }"
"What is the purpose of `checkCouponValidity()` function?","To check if a coupon is valid based on its expiration date.","public function checkCouponValidity($couponId) { ... }"
"What is the purpose of `verifyVoucherCode()` function?","To check the validity of a voucher code and return details if valid.","public function verifyVoucherCode($param) { ... }"
"What does `getCoupons()` return if no coupons are found?","An error message 'Error retrieving coupons data'.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
"How does `CouponsManager` handle errors during coupon retrieval in `getCoupons()`?","It returns an error response with a message 'Error retrieving coupons data'.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
